Stakhanov,48.5472,38.6361,Ukraine,UA,Luhans’ka Oblast’,,75745,75745
Nizhyn,51.0500,31.9000,Ukraine,UA,Chernihivs’ka Oblast’,minor,73283,73283
Kostiantynivka,48.5333,37.7167,Ukraine,UA,Donets’ka Oblast’,,72888,72888
Izmail,45.3500,28.8333,Ukraine,UA,Odes’ka Oblast’,minor,71594,71594
Novomoskovsk,48.6328,35.2239,Ukraine,UA,Dnipropetrovs’ka Oblast’,minor,70749,70749
Nova Kakhovka,46.7667,33.3667,Ukraine,UA,Khersons’ka Oblast’,,69280,69280
Kovel,51.2167,24.7167,Ukraine,UA,Volyns’ka Oblast’,minor,69089,69089
Smila,49.2167,31.8667,Ukraine,UA,Cherkas’ka Oblast’,minor,68536,68536
Kalush,49.0442,24.3597,Ukraine,UA,Ivano-Frankivs’ka Oblast’,minor,66406,66406
Korosten,50.9500,28.6500,Ukraine,UA,Zhytomyrs’ka Oblast’,minor,63525,63525
Pokrovsk,48.2833,37.1833,Ukraine,UA,Donets’ka Oblast’,minor,63437,63437
Boryspil,50.3500,30.9500,Ukraine,UA,Kyyivs’ka Oblast’,minor,62281,62281
Kolomyia,48.5167,25.0333,Ukraine,UA,Ivano-Frankivs’ka Oblast’,minor,61269,61269
Rubizhne,49.0167,38.3667,Ukraine,UA,Luhans’ka Oblast’,,59951,59951
Chornomorsk,46.3017,30.6569,Ukraine,UA,Odes’ka Oblast’,,59800,59800
Khartsyzk,48.0333,38.1500,Ukraine,UA,Donets’ka Oblast’,,59763,59763
Druzhkivka,48.6203,37.5278,Ukraine,UA,Donets’ka Oblast’,,59400,59400
Stryi,49.2500,23.8500,Ukraine,UA,L’vivs’ka Oblast’,minor,59325,59325
Bilhorod-Dnistrovskyi,46.1833,30.3333,Ukraine,UA,Odes’ka Oblast’,minor,57210,57210
Irpin,50.5167,30.2500,Ukraine,UA,Kyyivs’ka Oblast’,,56806,56806
Novohrad-Volynskyi,50.5833,27.6333,Ukraine,UA,Zhytomyrs’ka Oblast’,minor,56288,56288
Lozova,48.8892,36.3161,Ukraine,UA,Kharkivs’ka Oblast’,minor,55827,55827
Antratsyt,48.1167,39.0833,Ukraine,UA,Luhans’ka Oblast’,,54640,54640
Enerhodar,47.4989,34.6558,Ukraine,UA,Zaporiz’ka Oblast’,minor,53567,53567
Pryluky,50.6000,32.4000,Ukraine,UA,Chernihivs’ka Oblast’,minor,53395,53395
Novovolynsk,50.7333,24.1667,Ukraine,UA,Volyns’ka Oblast’,,52188,52188
Horishni Plavni,49.0107,33.6562,Ukraine,UA,Poltavs’ka Oblast’,,52167,52167
Myrnohrad,48.3022,37.2614,Ukraine,UA,Donets’ka Oblast’,,50360,50360
Shakhtarsk,48.0333,38.4833,Ukraine,UA,Donets’ka Oblast’,minor,49482,49482
Okhtyrka,50.3074,34.9016,Ukraine,UA,Sums’ka Oblast’,minor,47971,47971
Brianka,48.5133,38.6431,Ukraine,UA,Luhans’ka Oblast’,,47512,47512
Snizhne,48.0167,38.7667,Ukraine,UA,Donets’ka Oblast’,,47259,47259
Marhanets,47.6480,34.6167,Ukraine,UA,Dnipropetrovs’ka Oblast’,minor,47141,47141
Rovenky,48.0833,39.3667,Ukraine,UA,Luhans’ka Oblast’,,46734,46734
Fastiv,50.0747,29.9181,Ukraine,UA,Kyyivs’ka Oblast’,minor,45907,45907
Lubny,50.0186,32.9869,Ukraine,UA,Poltavs’ka Oblast’,minor,45786,45786
Svitlovodsk,49.0833,33.2500,Ukraine,UA,Kirovohrads’ka Oblast’,minor,45312,45312
Zhovti Vody,48.3500,33.5167,Ukraine,UA,Dnipropetrovs’ka Oblast’,,44766,44766
Krasnodon,48.3000,39.7333,Ukraine,UA,Luhans’ka Oblast’,,43683,43683
Shepetivka,50.1833,27.0667,Ukraine,UA,Khmel’nyts’ka Oblast’,minor,41415,41415
Vyshneve,50.3833,30.3667,Ukraine,UA,Kyyivs’ka Oblast’,,40919,40919
Romny,50.7428,33.4879,Ukraine,UA,Sums’ka Oblast’,minor,40316,40316
Myrhorod,49.9640,33.6124,Ukraine,UA,Poltavs’ka Oblast’,minor,40160,40160
Podilsk,47.7419,29.5350,Ukraine,UA,Odes’ka Oblast’,minor,40155,40155
Pokrov,47.6632,34.0811,Ukraine,UA,Dnipropetrovs’ka Oblast’,,39497,39497
Volodymyr-Volynskyi,50.8481,24.3222,Ukraine,UA,Volyns’ka Oblast’,minor,38901,38901
Pervomaisk,48.6333,38.5167,Ukraine,UA,Luhans’ka Oblast’,,38801,38801
Dzhankoi,45.7086,34.3933,Ukraine,UA,"Krym, Avtonomna Respublika",minor,38714,38714
Vasylkiv,50.1775,30.3217,Ukraine,UA,Kyyivs’ka Oblast’,,37696,37696
Dubno,50.3931,25.7350,Ukraine,UA,Rivnens’ka Oblast’,minor,37545,37545
Boryslav,49.2881,23.4267,Ukraine,UA,L’vivs’ka Oblast’,,37093,37093
Netishyn,50.3300,26.6400,Ukraine,UA,Khmel’nyts’ka Oblast’,,36921,36921
Holubivske,48.6375,38.6433,Ukraine,UA,Luhans’ka Oblast’,,36388,36388
Kakhovka,46.8000,33.4667,Ukraine,UA,Khersons’ka Oblast’,minor,35900,35900
Boyarka,50.3292,30.2886,Ukraine,UA,Kyyivs’ka Oblast’,,35411,35411
Yasynuvata,48.1167,37.8333,Ukraine,UA,Donets’ka Oblast’,,35303,35303
Voznesensk,47.5725,31.3119,Ukraine,UA,Mykolayivs’ka Oblast’,minor,35243,35243
Bucha,50.5464,30.2350,Ukraine,UA,Kyyivs’ka Oblast’,minor,35162,35162
Sambir,49.5167,23.2000,Ukraine,UA,L’vivs’ka Oblast’,minor,35026,35026
Avdiivka,48.1333,37.7500,Ukraine,UA,Donets’ka Oblast’,,34938,34938
Zhmerynka,49.0425,28.0992,Ukraine,UA,Vinnyts’ka Oblast’,minor,34537,34537
Toretsk,48.4000,37.8333,Ukraine,UA,Donets’ka Oblast’,,34378,34378
Hlukhiv,51.6765,33.9078,Ukraine,UA,Sums’ka Oblast’,,33478,33478
Obukhiv,50.1000,30.6167,Ukraine,UA,Kyyivs’ka Oblast’,minor,33204,33204
Chuhuiv,49.8353,36.6756,Ukraine,UA,Kharkivs’ka Oblast’,minor,33144,33144
Yuzhne,46.6222,31.1008,Ukraine,UA,Odes’ka Oblast’,,32679,32679
Kostopil,50.8833,26.4431,Ukraine,UA,Rivnens’ka Oblast’,,31463,31463
Tokmak,47.2514,35.7058,Ukraine,UA,Zaporiz’ka Oblast’,minor,31016,31016
Mohyliv-Podilskyi,48.4500,27.7833,Ukraine,UA,Vinnyts’ka Oblast’,minor,30982,30982
Synelnykove,48.3178,35.5119,Ukraine,UA,Dnipropetrovs’ka Oblast’,minor,30724,30724
Novoyavorovskoye,49.9311,23.5731,Ukraine,UA,L’vivs’ka Oblast’,,30723,30723
Pervomaiskyi,49.3869,36.2142,Ukraine,UA,Kharkivs’ka Oblast’,,30048,30048
Alushta,44.6672,34.3978,Ukraine,UA,"Krym, Avtonomna Respublika",,29668,29668
Chortkiv,49.0167,25.8000,Ukraine,UA,Ternopil’s’ka Oblast’,minor,29169,29169
Balakliia,49.4564,36.8389,Ukraine,UA,Kharkivs’ka Oblast’,,28868,28868
Truskavets,49.2806,23.5050,Ukraine,UA,L’vivs’ka Oblast’,,28867,28867
Novyi Rozdil,49.4703,24.1300,Ukraine,UA,L’vivs’ka Oblast’,,28745,28745
Khust,48.1814,23.2978,Ukraine,UA,Zakarpats’ka Oblast’,minor,28424,28424
Pershotravensk,48.3464,36.4044,Ukraine,UA,Dnipropetrovs’ka Oblast’,,28363,28363
Khrestivka,48.1500,38.3667,Ukraine,UA,Donets’ka Oblast’,,28149,28149
