Asgat,49.5108,96.7994,Mongolia,MN,Dzavhan,minor,,
Uubulan,48.6139,101.9286,Mongolia,MN,Arhangay,minor,,
Tosontsengel,48.7567,98.2839,Mongolia,MN,Dzavhan,minor,,
Dund-Urt,48.0379,105.9219,Mongolia,MN,Töv,minor,,
Erdenet,48.9528,99.5333,Mongolia,MN,Hövsgöl,minor,,
Tsagaannuur,49.5155,89.7431,Mongolia,MN,Bayan-Ölgiy,minor,,
Chihertey,48.3000,89.5000,Mongolia,MN,Bayan-Ölgiy,minor,,
Bayshint,49.6667,90.2833,Mongolia,MN,Uvs,minor,,
Nogoonnuur,49.6000,90.2333,Mongolia,MN,Bayan-Ölgiy,minor,,
Orhontuul,48.9497,104.9758,Mongolia,MN,Selenge,minor,,
Ulaanhudag,47.3333,104.5000,Mongolia,MN,Töv,minor,,
Höshööt,48.9333,89.1333,Mongolia,MN,Bayan-Ölgiy,minor,,
Mayhan,46.0833,103.8333,Mongolia,MN,Övörhangay,minor,,
Tsagaantüngi,49.0500,90.4500,Mongolia,MN,Bayan-Ölgiy,minor,,
Bilüü,49.0333,89.3833,Mongolia,MN,Bayan-Ölgiy,minor,,
Manhan,50.1214,100.0431,Mongolia,MN,Hövsgöl,minor,,
Mönhbulag,46.7500,103.5167,Mongolia,MN,Övörhangay,minor,,
Tolbo,48.4167,90.2833,Mongolia,MN,Bayan-Ölgiy,minor,,
Bayan,47.4500,103.1500,Mongolia,MN,Arhangay,minor,,
Ulaanhad,47.9333,105.5500,Mongolia,MN,Töv,minor,,
Uujim,48.9000,89.6167,Mongolia,MN,Bayan-Ölgiy,minor,,
Huurch,50.1036,105.4200,Mongolia,MN,Selenge,minor,,
Altanteel,47.1000,92.8500,Mongolia,MN,Hovd,minor,,
Tsagaan Ovoo,45.9500,101.4833,Mongolia,MN,Övörhangay,minor,,
Rashaant,47.7667,90.8333,Mongolia,MN,Bayan-Ölgiy,minor,,
Buyant,48.5667,89.5333,Mongolia,MN,Bayan-Ölgiy,minor,,
Argalant,47.9333,105.8667,Mongolia,MN,Töv,minor,,
Namir,49.1000,91.7167,Mongolia,MN,Uvs,minor,,
Teel,48.0464,100.5092,Mongolia,MN,Arhangay,minor,,
Bayan-Ulaan,46.5167,102.5833,Mongolia,MN,Övörhangay,minor,,
Bumbat,46.4667,104.1000,Mongolia,MN,Övörhangay,minor,,
Bayan-Uhaa,48.5500,98.6667,Mongolia,MN,Dzavhan,minor,,
Hüremt,48.6631,102.6228,Mongolia,MN,Bulgan,minor,,
Bayan,49.4333,99.6000,Mongolia,MN,Hövsgöl,minor,,
Dundbürd,47.9167,111.5000,Mongolia,MN,Hentiy,minor,,
Jargalant,46.9167,91.0833,Mongolia,MN,Bayan-Ölgiy,minor,,
Bürenhayrhan,46.0833,91.5667,Mongolia,MN,Hovd,minor,,
Bulag,49.8500,100.6167,Mongolia,MN,Hövsgöl,minor,,
Maanĭt,48.2967,103.4256,Mongolia,MN,Bulgan,minor,,
Horgo,48.1600,99.8756,Mongolia,MN,Arhangay,minor,,
Bayanhushuu,48.2333,91.9167,Mongolia,MN,Hovd,minor,,
Jargalant,47.7833,101.9667,Mongolia,MN,Arhangay,minor,,
Lün,47.8667,105.2500,Mongolia,MN,Töv,minor,,
Ongon,46.9667,103.7833,Mongolia,MN,Övörhangay,minor,,
Avdzaga,47.6333,103.5167,Mongolia,MN,Bulgan,minor,,
Burgaltay,49.2786,104.7353,Mongolia,MN,Selenge,minor,,
Bayantal,46.5622,108.3044,Mongolia,MN,Govĭsümber,minor,,
Süüj,47.8500,104.0500,Mongolia,MN,Bulgan,minor,,
Shiree,45.8500,103.4000,Mongolia,MN,Övörhangay,minor,,
Sangiyn Dalay,46.6500,103.3167,Mongolia,MN,Övörhangay,minor,,
Bayandelger,47.7333,108.1167,Mongolia,MN,Töv,minor,,
Dzaanhoshuu,47.5000,100.8667,Mongolia,MN,Arhangay,minor,,
Buyant,48.0667,91.8167,Mongolia,MN,Hovd,minor,,
Hanhöhiy,47.6167,112.1333,Mongolia,MN,Sühbaatar,minor,,
Erhet,48.2806,102.9747,Mongolia,MN,Bulgan,minor,,
Altraga,50.2111,98.9508,Mongolia,MN,Hövsgöl,minor,,
Dzadgay,46.1833,99.5667,Mongolia,MN,Bayanhongor,minor,,
Jargalant,47.5333,100.2167,Mongolia,MN,Arhangay,minor,,
Bayan,48.5500,111.0833,Mongolia,MN,Hentiy,minor,,
Jargalant,49.2667,95.4333,Mongolia,MN,Uvs,minor,,
Sharga,49.0503,102.0806,Mongolia,MN,Bulgan,minor,,
Hüremt,46.3000,102.4667,Mongolia,MN,Övörhangay,minor,,
Hushaat,49.5000,105.6167,Mongolia,MN,Selenge,minor,,
Sharga,49.8000,98.8000,Mongolia,MN,Hövsgöl,minor,,
Erdenetsogt,46.4167,100.8000,Mongolia,MN,Bayanhongor,minor,,
Mandal,49.9000,99.4333,Mongolia,MN,Hövsgöl,minor,,
Tsenher,46.9167,92.1167,Mongolia,MN,Hovd,minor,,
Bulagiyn Denj,47.3167,101.1000,Mongolia,MN,Arhangay,minor,,
Darhan,48.2333,103.9500,Mongolia,MN,Bulgan,minor,,
Havtsal,50.1000,91.6667,Mongolia,MN,Uvs,minor,,
Hutag,49.3950,102.6933,Mongolia,MN,Bulgan,minor,,
Har-Us,48.4833,91.4333,Mongolia,MN,Hovd,minor,,
Har-Us,49.0333,92.0333,Mongolia,MN,Uvs,minor,,
Turt,51.5125,100.6639,Mongolia,MN,Hövsgöl,minor,,
Ihbulag,43.2000,107.2000,Mongolia,MN,Ömnögovĭ,minor,,
Bugant,49.5833,106.8500,Mongolia,MN,Selenge,minor,,
Tsomog,45.9167,109.0667,Mongolia,MN,Dornogovĭ,minor,,
Bulagtay,49.7667,107.5500,Mongolia,MN,Selenge,minor,,
Höshigiyn-Ar,47.5572,106.9633,Mongolia,MN,Töv,minor,,
Tsetsegnuur,46.6000,93.2667,Mongolia,MN,Hovd,minor,,
Baruunturuun,49.6500,94.3833,Mongolia,MN,Uvs,minor,,
Züünhövöö,50.6128,92.4022,Mongolia,MN,Uvs,minor,,
Ulaantolgoy,46.6833,92.7833,Mongolia,MN,Hovd,minor,,
Tögrög,47.4167,92.2167,Mongolia,MN,Hovd,minor,,
Ulaan-Uul,46.0833,100.8333,Mongolia,MN,Bayanhongor,minor,,
Hunt,47.8667,99.4667,Mongolia,MN,Arhangay,minor,,
Bayantöhöm,46.9167,105.0500,Mongolia,MN,Töv,minor,,
Duut,47.5167,91.6333,Mongolia,MN,Hovd,minor,,
Tsagaandörvölj,45.8000,109.3333,Mongolia,MN,Dornogovĭ,minor,,
Avraga,47.1833,109.1667,Mongolia,MN,Hentiy,minor,,
Övögdiy,48.6428,97.6186,Mongolia,MN,Dzavhan,minor,,
Dzag,46.9333,99.1667,Mongolia,MN,Bayanhongor,minor,,
Maanĭt,47.2500,107.5333,Mongolia,MN,Töv,minor,,
Onon,48.6167,110.6000,Mongolia,MN,Hentiy,minor,,
Höövör,45.1667,101.4000,Mongolia,MN,Övörhangay,minor,,
Dzel,49.9000,93.7833,Mongolia,MN,Uvs,minor,,
Bayanhushuu,46.7167,100.1333,Mongolia,MN,Bayanhongor,minor,,
