Victoria,-4.6236,55.4544,Seychelles,SC,English River,primary,26450,26450
De Quincey Village,-4.6026,55.4569,Seychelles,SC,Anse Etoile,,,
Anse Royale,-4.7333,55.5167,Seychelles,SC,Anse Royale,,,
Machabee,-4.5667,55.4500,Seychelles,SC,Glacis,,,
Cascade,-4.6667,55.5000,Seychelles,SC,Cascade,,,
Bel Ombre,-4.6167,55.4167,Seychelles,SC,Bel Ombre,,,
Anse Boileau,-4.7167,55.4833,Seychelles,SC,Anse Boileau,,,
